cluster_type,LET,inner_pixels,energy,lw_ratio,density,pixel_count,frame
STRAIGHT_TRACK,2.837,0,1441.0,13.538,0.848,20,1932
SMALL_BLOB,0.65,0,325.0,1,1,2,1963
SMALL_BLOB,0.084,0,42.0,1,1,1,1977
SMALL_BLOB,0.044,0,22.0,1,1,1,1981
LIGHT_TRACK,1.107,0,554.0,4.5,1.444,8,1982
SMALL_BLOB,0.172,0,86.0,1,1,1,1986
SMALL_BLOB,0.164,0,82.0,1,1,1,1997
SMALL_BLOB,0.876,0,438.0,1,1,3,1997
LIGHT_TRACK,1.397,0,701.0,6.75,1.111,12,2002
SMALL_BLOB,0.867,0,434.0,3.0,2.667,4,2003
SMALL_BLOB,0.26,0,130.0,1,1,2,2009
LIGHT_TRACK,1.075,0,538.0,3.5,1.786,5,2028
LIGHT_TRACK,3.357,2,1698.0,2.959,0.316,25,2033
SMALL_BLOB,0.07,0,35.0,1,1,1,2047
SMALL_BLOB,0.626,0,313.0,1.0,3.0,3,2059
LIGHT_TRACK,2.484,2,1253.0,9.5,1.0,19,2077
SMALL_BLOB,0.158,0,79.0,1,1,1,2078
SMALL_BLOB,0.28,0,140.0,1,1,1,2083
SMALL_BLOB,0.318,0,159.0,1,1,2,2087
SMALL_BLOB,0.12,0,60.0,1,1,1,2087
SMALL_BLOB,0.29,0,145.0,1,1,2,2088
SMALL_BLOB,0.192,0,96.0,1,1,2,2089
SMALL_BLOB,0.476,0,238.0,1.0,3.0,3,2089
SMALL_BLOB,0.656,0,328.0,1,1,2,2091
SMALL_BLOB,0.216,0,108.0,1,1,2,2114
SMALL_BLOB,0.15,0,75.0,1,1,1,2119
SMALL_BLOB,0.532,0,266.0,1.0,4.0,4,2122
LIGHT_TRACK,0.939,0,470.0,4.5,1.667,6,2133
STRAIGHT_TRACK,1.338,0,672.0,9.0,1.218,12,2133
LIGHT_TRACK,1.073,0,537.0,6.0,2.333,7,2138
SMALL_BLOB,0.078,0,39.0,1,1,1,2144
SMALL_BLOB,0.42,0,210.0,1,1,1,2145
SMALL_BLOB,0.12,0,60.0,1,1,1,2157
SMALL_BLOB,0.14,0,70.0,1,1,1,2165
SMALL_BLOB,0.078,0,39.0,1,1,1,2184
SMALL_BLOB,0.016,0,8.0,1,1,1,2184
LIGHT_TRACK,0.943,0,472.0,4.0,1.75,7,2201
SMALL_BLOB,0.202,0,101.0,1,1,2,2201
STRAIGHT_TRACK,2.969,0,1507.0,15.667,1.076,21,2208
SMALL_BLOB,0.206,0,103.0,1,1,1,2215
SMALL_BLOB,0.048,0,24.0,1,1,1,2219
SMALL_BLOB,0.344,0,172.0,1,1,2,2219
LIGHT_TRACK,1.945,0,973.0,1.8,0.756,8,2220
SMALL_BLOB,0.14,0,70.0,2.0,3.0,3,2224
LIGHT_TRACK,1.303,0,653.0,7.666,1.449,10,2225
STRAIGHT_TRACK,1.497,0,752.0,9.625,1.287,13,2225
